location,date,total_cases,total_deaths,total_cases_per_million,total_vaccinations,stringency_index
China,1/22/2020,548,17,0.381,,26.39
China,1/23/2020,643,18,0.447,,44.91
China,1/24/2020,920,26,0.639,,44.91
China,1/25/2020,1406,42,0.977,,47.69
China,1/26/2020,2075,56,1.442,,69.91
China,1/27/2020,2877,82,1.999,,69.91
China,1/28/2020,5509,131,3.827,,69.91
China,1/29/2020,6087,133,4.229,,69.91
China,1/30/2020,8141,171,5.656,,69.91
China,1/31/2020,9802,213,6.81,,69.91
China,2/1/2020,11891,259,8.262,,77.31
China,2/2/2020,16630,361,11.554,,77.31
China,2/3/2020,19716,425,13.698,,77.31
China,2/4/2020,23707,491,16.471,,77.31
China,2/5/2020,27440,563,19.065,,77.31
China,2/6/2020,30587,633,21.251,,77.31
China,2/7/2020,34110,718,23.699,,77.31
China,2/8/2020,36814,805,25.577,,77.31
China,2/9/2020,39829,905,27.672,,77.31
China,2/10/2020,42354,1012,29.426,,75.46
China,2/11/2020,44386,1112,30.838,,75.46
China,2/12/2020,44759,1117,31.097,,75.46
China,2/13/2020,59895,1369,41.613,,75.46
China,2/14/2020,66358,1521,46.104,,75.46
China,2/15/2020,68413,1663,47.531,,75.46
China,2/16/2020,70513,1766,48.99,,75.46
China,2/17/2020,72434,1864,50.325,,75.46
China,2/18/2020,74211,2003,51.56,,75.46
China,2/19/2020,74619,2116,51.843,,75.46
China,2/20/2020,75077,2238,52.161,,75.46
China,2/21/2020,75550,2238,52.49,,75.46
China,2/22/2020,77001,2443,53.498,,75.46
China,2/23/2020,77022,2445,53.513,,75.46
China,2/24/2020,77241,2595,53.665,,75.46
China,2/25/2020,77754,2665,54.021,,81.02
China,2/26/2020,78166,2717,54.307,,81.02
China,2/27/2020,78600,2746,54.609,,81.02
China,2/28/2020,78928,2790,54.837,,81.02
China,2/29/2020,79356,2837,55.134,,81.02
China,3/1/2020,79932,2872,55.534,,81.02
China,3/2/2020,80136,2914,55.676,,81.02
China,3/3/2020,80261,2947,55.763,,81.02
China,3/4/2020,80386,2983,55.85,,81.02
China,3/5/2020,80537,3015,55.955,,81.02
China,3/6/2020,80690,3044,56.061,,81.02
China,3/7/2020,80770,3072,56.117,,81.02
China,3/8/2020,80823,3100,56.153,,81.02
China,3/9/2020,80860,3123,56.179,,81.02
China,3/10/2020,80887,3139,56.198,,81.02
China,3/11/2020,80921,3161,56.222,,81.02
China,3/12/2020,80932,3172,56.229,,81.02
China,3/13/2020,80945,3180,56.238,,81.02
China,3/14/2020,80977,3193,56.26,,81.02
China,3/15/2020,81003,3203,56.279,,81.02
China,3/16/2020,81033,3217,56.299,,79.17
China,3/17/2020,81058,3230,56.317,,79.17
China,3/18/2020,81102,3241,56.347,,79.17
China,3/19/2020,81156,3249,56.385,,79.17
China,3/20/2020,81250,3253,56.45,,79.17
China,3/21/2020,81305,3259,56.488,,79.17
China,3/22/2020,81435,3274,56.579,,79.17
China,3/23/2020,81498,3274,56.622,,79.17
China,3/24/2020,81591,3281,56.687,,79.17
China,3/25/2020,81661,3285,56.736,,79.17
China,3/26/2020,81782,3291,56.82,,81.94
China,3/27/2020,81897,3296,56.9,,81.94
China,3/28/2020,81999,3299,56.971,,73.61
China,3/29/2020,82122,3304,57.056,,73.61
China,3/30/2020,82198,3308,57.109,,73.61
China,3/31/2020,82279,3309,57.165,,73.61
China,4/1/2020,82361,3316,57.222,,73.61
China,4/2/2020,82432,3322,57.271,,73.61
China,4/3/2020,82511,3326,57.326,,69.91
China,4/4/2020,82543,3330,57.348,,69.91
China,4/5/2020,82602,3333,57.389,,69.91
China,4/6/2020,82665,3335,57.433,,69.91
China,4/7/2020,82718,3335,57.47,,69.91
China,4/8/2020,82809,3337,57.533,,56.94
China,4/9/2020,82883,3339,57.585,,56.94
China,4/10/2020,82941,3340,57.625,,56.94
China,4/11/2020,83014,3343,57.676,,56.94
China,4/12/2020,83134,3343,57.759,,56.94
China,4/13/2020,83213,3345,57.814,,56.94
China,4/14/2020,83306,3345,57.879,,56.94
China,4/15/2020,83356,3346,57.913,,56.94
China,4/16/2020,83403,3346,57.946,,56.94
China,4/17/2020,83760,4636,58.194,,56.94
China,4/18/2020,83787,4636,58.213,,56.94
China,4/19/2020,83805,4636,58.225,,56.94
China,4/20/2020,83817,4636,58.234,,56.94
China,4/21/2020,83853,4636,58.259,,56.94
China,4/22/2020,83868,4636,58.269,,56.94
China,4/23/2020,83884,4636,58.28,,56.94
China,4/24/2020,83899,4636,58.291,,56.94
China,4/25/2020,83909,4636,58.298,,56.94
China,4/26/2020,83912,4637,58.3,,56.94
China,4/27/2020,83918,4637,58.304,,56.94
China,4/28/2020,83940,4637,58.319,,56.94
China,4/29/2020,83944,4637,58.322,,56.94
China,4/30/2020,83956,4637,58.33,,56.94
China,5/1/2020,83959,4637,58.332,,56.94
China,5/2/2020,83959,4637,58.332,,56.94
China,5/3/2020,83964,4637,58.336,,56.94
China,5/4/2020,83966,4637,58.337,,56.94
China,5/5/2020,83968,4637,58.339,,56.94
China,5/6/2020,83970,4637,58.34,,56.94
China,5/7/2020,83975,4637,58.343,,56.94
China,5/8/2020,83976,4637,58.344,,56.94
China,5/9/2020,83990,4637,58.354,,56.94
China,5/10/2020,84010,4637,58.368,,81.94
China,5/11/2020,84011,4637,58.368,,81.94
China,5/12/2020,84018,4637,58.373,,81.94
China,5/13/2020,84024,4637,58.377,,81.94
China,5/14/2020,84029,4637,58.381,,81.94
China,5/15/2020,84038,4637,58.387,,81.94
China,5/16/2020,84044,4638,58.391,,81.94
